,Prise
0,179652.02599448783
1,131916.27573725893
2,275177.62537094805
3,210789.88894471392
4,265916.77878063836
5,292842.09202427807
6,154402.70771027845
7,186541.227198198
8,179940.85165874657
9,319684.6689732433
10,170226.35341835086
11,364895.71556404146
12,304843.21426873805
13,260941.9770178475
14,145039.57980046395
15,156815.03075783036
16,188868.01855277747
17,134960.96970671666
18,183400.1256534336
19,313035.1812757228
20,296607.3538770992
21,258426.38791627006
22,267016.590088705
23,185008.49554356188
24,208844.62929289936
25,308445.0370073491
26,224416.72522769892
27,183328.46643644111
28,260594.9572652271
29,232769.35505789416
30,238564.35088984543
31,213984.47848116094
32,300950.89929377707
33,175062.7604040914
34,187491.02080769968
35,371138.751934267
36,382814.9304180263
37,140626.7961232957
38,181697.79297100526
39,162296.1780763999
40,283170.309556857
41,108641.18976954596
42,246950.98069918813
43,183928.83473368824
44,190337.64425784562
45,133270.9743466114
46,269531.45452926756
47,214434.31710854432
48,184299.69650940184
49,175979.43242543365
50,255349.6345727917
51,202226.72137665172
52,219458.35342709682
53,174750.82416745924
54,187750.21513220062
55,321013.2627896678
56,297336.8179465933
57,176615.73773830017
58,121180.91591151395
59,191060.3412838354
60,378243.3548117398
61,327931.54325935233
62,182226.53051419344
63,257643.12270902333
64,194446.14382448082
65,193855.6071516501
66,230520.55056950633
67,358445.1911833519
68,181591.03139124168
69,202925.01331817114
70,170365.4924219103
71,118287.04157416744
72,258796.8358503819
73,256815.95811002218
74,251299.94638399553
75,140458.6843398507
76,336563.72335610766
77,373915.2455176708
78,155896.70833370922
79,307693.50257644104
80,148727.5101432781
81,170760.26750519912
82,154044.69946094602
83,164567.43535098172
84,367507.83035079413
85,387173.36753617256
86,211767.48597807437
87,282556.2235602115
88,423738.9703955298
89,156348.72138180438
90,146440.5037866334
91,232073.6766724734
92,201286.93576924273
93,202003.4821403372
94,166680.96431524883
95,297940.1049656253
96,237588.70655377224
97,524350.0614394919
98,287951.1017363655
99,341483.5767310611
100,284844.9405992839
101,449006.4699302494
102,201710.20154906999
103,176906.3495490601
104,208437.30605374515
105,410841.3423061125
106,211106.3171919074
107,180370.68580958078
108,294404.3717836449
109,228885.12967241587
110,350557.0634103991
111,170255.99075379298
112,147782.44502755106
113,150139.6170299182
114,187854.23550247218
115,210812.3956635676
116,229182.38212146066
117,271987.22555038973
118,240772.53337464138
119,329859.5917138906
120,242145.55507554725
121,215545.27131656313
122,213820.30901879733
123,205181.73681299004
124,194358.05742753958
125,213077.61228660346
126,255892.01570959156
127,327711.08708371175
128,240287.25050088373
129,197451.80235128026
130,234387.51889662776
131,247910.51704471576
132,263255.8120475637
133,262418.68540393765
134,197408.51468718305
135,140886.02504125683
136,190255.40149025363
137,81183.05357277603
138,200909.9314483083
139,211287.10643558853
140,283627.8909148402
141,448627.34440597816
142,207520.29375337332
143,206127.6360348167
144,201882.5447884134
145,203132.1615411978
146,219916.377037063
147,146823.06328173328
148,189248.93454044792
149,222387.44533319635
150,293046.4454028572
151,279635.29973889835
152,322625.0889423628
153,159507.36467008843
154,157387.49160574042
155,98218.3568160139
156,344613.11664073216
157,275287.21018087154
158,166610.810503456
159,205612.4091605254
160,123860.16089556346
161,235851.36286942082
162,201058.46556308123
163,186173.6153763671
164,367113.842258491
165,216706.06412339697
166,165251.60198076378
167,174691.9337793167
168,168565.07937182204
169,276961.23324257054
170,237813.68253279582
171,178313.8472131203
172,198917.3498707395
173,166576.8211784106
174,156233.49603297873
175,172733.85361949896
176,222269.0906380969
177,173736.08790013244
178,291525.60416192305
179,190629.8031763807
180,202958.36054396548
181,125417.59106913459
182,278532.0268353791
183,220112.34067264578
184,257326.88837659665
185,266332.32728691
186,193560.17551147938
187,316521.11691509257
188,257915.4638683433
189,191910.62715355732
190,157605.2097640014
191,247434.14884323117
192,197965.75850856077
193,207073.4461471114
194,173498.83403485644
195,296221.6154535298
196,166107.84535906347
197,200431.91168993502
198,230317.7704310031
199,190240.3306784867
200,255412.53852603387
201,167099.5727065997
202,238910.802420557
203,226667.19600788807
204,186111.34090405694
205,98484.05282434718
206,300303.0125794144
207,231689.83318319157
208,180763.43689466227
209,187770.77536856453
210,279297.4336476212
211,153666.43261629823
212,295218.1073399541
213,245644.28106248702
214,295487.4641147261
215,165090.97603783064
216,257689.77074102787
217,188310.52260758536
218,228464.4489793362
219,256447.77010049394
220,262278.55039320566
221,292434.13320331456
222,203145.5111350233
223,118423.58629561076
224,143992.66599720833
225,225190.27499061037
226,181508.30728527202
227,112646.1777595837
228,169653.8001682783
229,164512.372601761
230,138426.29250809448
231,310571.7665009557
232,246875.9496808574
233,340936.7087819105
234,248260.26152012128
235,172014.91438060725
236,290697.89016007737
237,125289.82168356724
238,154982.93547022206
239,238036.36592788014
240,150537.21245279413
241,469498.275651783
242,363168.9918294301
243,283172.97897572553
244,163108.00767077992
245,416533.27281022444
246,179354.72696628846
247,153144.76829137947
248,191354.5480781452
249,228795.8212885536
250,250563.68002185837
251,157390.44356494155
252,282994.6120195673
253,151943.25323757378
254,202431.53455699203
255,217538.63506132062
256,267725.7436294087
257,77404.2435602305
258,245338.98499046586
259,217911.38686636277
260,160195.55121680207
261,174059.29574805064
262,161515.8936808027
263,164043.7109015549
264,169912.7513502844
265,97169.39465391294
266,131052.61212707586
267,143101.80801004433
268,218078.0363991615
269,121150.85837509828
270,195185.21114613052
271,274103.93701000867
272,256950.35430246964
273,140920.75528994147
274,154742.92260220347
275,272300.15377192723
276,120216.09242977102
277,270780.23331438884
278,146591.86686167843
279,183157.04540191736
280,164021.9189683954
281,154451.45169575082
282,146728.93961660433
283,285011.75481099746
284,200648.5203383355
285,287420.9442133993
286,270974.08135080157
287,131555.64139035606
288,327969.4869597701
289,205747.5216474776
290,167373.26293785102
291,309004.25913594285
292,335781.067667821
293,179292.30677836228
294,513558.19384708756
295,316038.78159978555
296,212828.8666675072
297,229554.6803498158
298,225547.1852695966
299,158343.16476345412
300,212199.75601978973
301,136804.16447156866
302,163894.00967076904
303,151751.36492110265
304,290758.79680989665
305,186837.386603814
306,179974.29472085775
307,216447.70690326503
308,200361.7729557663
309,268377.2738605737
310,250541.7078192082
311,380037.675694184
312,331031.0144835895
313,182967.50779525642
314,123372.41473116088
315,178777.98965239024
316,275098.8238524199
317,154596.47283888084
318,187313.56730294472
319,239517.4055457189
320,198493.88015992776
321,162872.93710983434
322,142919.39866832993
323,202867.3335216937
324,218087.019023592
325,154762.75382694526
326,254156.567757952
327,213168.9006176109
328,182548.90228806107
329,127973.17379251309
330,132007.1873025396
331,190591.78303311704
332,208102.2522827997
333,197982.48745396282
334,341682.3840655918
335,270637.5710728835
336,275404.372329669
337,150696.96175375438
338,267039.67842820403
339,125565.97609553243
340,336584.8434802021
341,182805.1535617235
342,243926.3965479428
343,347056.31984651287
344,213549.68891029072
345,187137.55144722533
346,265912.6206048087
347,243386.44834045882
348,194464.48964669977
349,155453.40815020728
350,177360.39401248394
351,300989.6076003712
352,181100.78846086335
353,149347.78407314458
354,154622.92485433765
355,374664.5820671088
356,130894.51023047035
357,328292.6290613749
358,290093.5104566419
359,365625.3192493503
360,171728.5296176694
361,215942.67310956557
362,161836.76199505976
363,181521.75316108842
364,215384.4346114575
365,201902.76876679997
366,198898.81274358544
367,214913.8736123904
368,203805.2156441864
369,355017.18394618784
370,163651.77860783288
371,380278.7602866675
372,421011.8317685285
373,238952.17462645163
374,494510.1139639785
375,139227.50362235095
376,152597.19143477327
377,186734.30279484016
378,243572.99335006782
379,292402.5373769535
380,282523.39386131254
381,402511.9567050045
382,210556.87963930037
383,206537.60246588712
384,81115.17768808594
385,190213.63604833925
386,268838.19040234643
387,176962.49238000822
388,178338.23708725476
389,178841.88488702828
390,277549.6360997571
391,222253.5184831594
392,267719.44921276066
393,196874.99545168382
394,162358.22616299937
395,150293.887738738
396,185319.23605231178
397,194015.86232095532
398,239352.3391255078
399,236384.80917348876
400,172049.07957362302
401,199037.36239187134
402,307416.6644158805
403,202858.06076321893
404,308166.62608325307
405,270812.7597262911
406,359249.83210010576
407,206537.32132989966
408,116835.65989756487
409,246566.79658239032
